TIME,HELMET_RAW,BELT_ACC_X,BELT_ACC_Y,BELT_ACC_Z,BELT_ANG_X,BELT_ANG_Y,BELT_ANG_Z,BELT_LUMINOSITY,NECK_ACC_X,NECK_ACC_Y,NECK_ACC_Z,NECK_ANG_X,NECK_ANG_Y,NECK_ANG_Z,NECK_LUMINOSITY,PCKT_ACC_X,PCKT_ACC_Y,PCKT_ACC_Z,PCKT_ANG_X,PCKT_ANG_Y,PCKT_ANG_Z,PCKT_LUMINOSITY,WRST_ACC_X,WRST_ACC_Y,WRST_ACC_Z,WRST_ANG_X,WRST_ANG_Y,WRST_ANG_Z,WRST_LUMINOSITY,IR_1,IR_2,IR_3,IR_4
24-May-2018 14:41:38,-33.5454545454545,0.0908714285714286,-0.882571428571428,-0.389657142857143,0.57,-0.6255,0.275333333333333,0.201,0,0,0,0,0,0,0,-0.32438,-0.95714,0.09114,7.5962,17.0934,1.6588,2.167,0.94446,-0.42256,0.05532,-11.2108571428571,5.54014285714286,-0.653428571428571,415.4835,1,1,1,1
24-May-2018 14:41:38,-33.5454545454545,0.0908714285714286,-0.882571428571428,-0.389657142857143,0.57,-0.6255,0.275333333333333,0.201,0,0,0,0,0,0,0,-0.32438,-0.95714,0.09114,7.5962,17.0934,1.6588,2.167,0.94446,-0.42256,0.05532,-11.2108571428571,5.54014285714286,-0.653428571428571,415.4835,1,1,1,1
24-May-2018 14:41:38,-33.5454545454545,0.0908714285714286,-0.882571428571428,-0.389657142857143,0.57,-0.6255,0.275333333333333,0.201,0,0,0,0,0,0,0,-0.32438,-0.95714,0.09114,7.5962,17.0934,1.6588,2.167,0.94446,-0.42256,0.05532,-11.2108571428571,5.54014285714286,-0.653428571428571,415.4835,1,1,1,1
24-May-2018 14:41:38,-33.5454545454545,0.0908714285714286,-0.882571428571428,-0.389657142857143,0.57,-0.6255,0.275333333333333,0.201,0,0,0,0,0,0,0,-0.32438,-0.95714,0.09114,7.5962,17.0934,1.6588,2.167,0.94446,-0.42256,0.05532,-11.2108571428571,5.54014285714286,-0.653428571428571,415.4835,1,1,1,1
24-May-2018 14:41:39,28.6,0.0908714285714286,-0.882571428571428,-0.389657142857143,0.57,-0.6255,0.275333333333333,0.201,0,0,0,0,0,0,0,-0.341075,-0.9548,0.157325,3.60525,-5.495875,-0.264375,2.589,0.94956,-0.40176,0.0568,1.40257142857143,0.409571428571428,0.296285714285714,435.8138,1,1,1,1
24-May-2018 14:41:39,28.6,0.0908714285714286,-0.882571428571428,-0.389657142857143,0.57,-0.6255,0.275333333333333,0.201,0,0,0,0,0,0,0,-0.341075,-0.9548,0.157325,3.60525,-5.495875,-0.264375,2.589,0.94956,-0.40176,0.0568,1.40257142857143,0.409571428571428,0.296285714285714,435.8138,1,1,1,1
24-May-2018 14:41:39,28.6,0.0908714285714286,-0.882571428571428,-0.389657142857143,0.57,-0.6255,0.275333333333333,0.201,0,0,0,0,0,0,0,-0.341075,-0.9548,0.157325,3.60525,-5.495875,-0.264375,2.589,0.94956,-0.40176,0.0568,1.40257142857143,0.409571428571428,0.296285714285714,435.8138,1,1,1,1
24-May-2018 14:41:39,28.6,0.0908714285714286,-0.882571428571428,-0.389657142857143,0.57,-0.6255,0.275333333333333,0.201,0,0,0,0,0,0,0,-0.341075,-0.9548,0.157325,3.60525,-5.495875,-0.264375,2.589,0.94956,-0.40176,0.0568,1.40257142857143,0.409571428571428,0.296285714285714,435.8138,1,1,1,1
24-May-2018 14:41:40,6.54545454545455,0.0908714285714286,-0.882571428571428,-0.389657142857143,0.57,-0.6255,0.275333333333333,0.201,0,0,0,0,0,0,0,-0.3285,-0.9508,0.190066666666667,-1.31014285714286,0.00214285714285711,-0.762857142857143,2.62633333333333,0.9408,-0.419985714285714,0.0597714285714286,-0.975571428571428,0.453,-0.217714285714286,433.2065,1,1,1,1
24-May-2018 14:41:40,6.54545454545455,0.0908714285714286,-0.882571428571428,-0.389657142857143,0.57,-0.6255,0.275333333333333,0.201,0,0,0,0,0,0,0,-0.3285,-0.9508,0.190066666666667,-1.31014285714286,0.00214285714285711,-0.762857142857143,2.62633333333333,0.9408,-0.419985714285714,0.0597714285714286,-0.975571428571428,0.453,-0.217714285714286,433.2065,1,1,1,1
